order_id,order_date,customer_id,customer_name,segment,region,city,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,shipping_cost,ship_mode
ORD-20000,2024-06-14,CUST-00362,Nancy Rodriguez,Corporate,West,Los Angeles,Office Supplies,Binders,Binders - Model Z592,10,15.61,0.4,93.66,27.04,14.48,Standard Class
ORD-20001,2023-10-31,CUST-01992,Mark Lee,Consumer,North,Minneapolis,Furniture,Wardrobes,Wardrobes - Model N878,8,577.72,0.4,2773.06,-283.01,37.74,Second Class
ORD-20002,2022-03-27,CUST-01954,Donald Garcia,Consumer,West,San Francisco,Furniture,Office Chairs,Office Chairs - Model T650,7,633.35,0.0,4433.45,955.85,55.53,Second Class
ORD-20003,2024-01-18,CUST-01489,Betty Thomas,Corporate,North,Detroit,Technology,Keyboards,Keyboards - Model P173,5,88.48,0.3,309.68,6.39,35.04,First Class
ORD-20004,2024-09-05,CUST-01465,Jessica Moore,Home Office,East,New York,Furniture,Filing Cabinets,Filing Cabinets - Model X483,4,104.87,,419.48,-19.09,31.54,Same Day
ORD-20005,2024-01-13,CUST-01896,Margaret Lee,Consumer,Central,St. Louis,Furniture,Wardrobes,Wardrobes - Model S172,6,1170.49,0.3,4916.06,-140.88,39.54,Same Day
ORD-20006,2022-11-29,CUST-00080,John Lopez,Home Office,East,Philadelphia,Technology,Headphones,Headphones - Model Y869,3,468.1,0.0,1404.3,455.2,57.55,First Class
ORD-20007,2022-03-17,CUST-01453,James White,Consumer,North,Milwaukee,Furniture,Coffee Tables,Coffee Tables - Model B932,7,448.23,0.3,2196.33,126.25,16.81,First Class
ORD-20008,2023-05-21,CUST-01448,Jessica Davis,Corporate,West,San Francisco,Office Supplies,Notebooks,Notebooks - Model E360,3,22.44,0.1,60.59,18.9,,Second Class
ORD-20009,2022-07-20,CUST-01185,Daniel Thompson,Consumer,West,Portland,Office Supplies,Paper Reams,Paper Reams - Model C630,2,8.52,0.2,13.63,2.58,36.41,Second Class
ORD-20010,2022-09-29,CUST-00867,James Jones,Corporate,North,Detroit,Technology,Headphones,Headphones - Model Y997,5,148.85,0.2,595.4,99.76,44.83,Standard Class
ORD-20011,2023-05-04,CUST-01303,William Williams,Consumer,West,Denver,Office Supplies,Sticky Notes,Sticky Notes - Model J106,5,16.84,0.0,84.2,40.04,25.68,Second Class
ORD-20012,2024-07-27,CUST-01008,Linda Williams,Home Office,Central,Columbus,Technology,Smartphones,Smartphones - Model F280,7,383.81,0.3,1880.67,262.25,44.78,First Class
ORD-20013,2023-04-06,CUST-01442,Patricia Rodriguez,Consumer,North,Detroit,Technology,Monitors,Monitors - Model F305,9,466.21,0.0,4195.89,940.77,49.42,Standard Class
ORD-20014,2022-09-24,CUST-00375,Charles Hernandez,Consumer,South,Houston,Technology,Keyboards,Keyboards - Model U270,7,196.93,0.4,827.11,66.66,38.59,Standard Class
ORD-20015,2022-09-10,CUST-00176,Mark Anderson,Corporate,North,Cleveland,Furniture,Standing Desks,Standing Desks - Model V878,6,632.11,0.0,3792.66,587.77,30.24,Standard Class
ORD-20016,2024-02-01,CUST-00126,Mary Gonzalez,Home Office,Central,Oklahoma City,Furniture,Office Chairs,Office Chairs - Model M717,1,565.73,0.0,565.73,13.51,48.13,First Class
ORD-20017,2024-12-30,CUST-00996,John Jones,Home Office,South,Nashville,Furniture,Coffee Tables,Coffee Tables - Model K936,6,402.19,0.2,1930.51,171.14,22.56,Second Class
ORD-20018,2022-05-31,CUST-00740,Joseph Smith,Corporate,South,Nashville,Office Supplies,Desk Organizers,Desk Organizers - Model A567,1,39.6,0.1,35.64,14.45,48.96,Same Day
ORD-20019,2023-10-24,CUST-01711,Betty Martinez,Consumer,East,New York,Technology,Laptops,Laptops - Model H477,9,1783.44,0.2,12840.77,3651.14,45.83,Same Day
ORD-20020,2023-03-20,CUST-01406,Ashley Lee,Corporate,South,Houston,Office Supplies,Scissors,Scissors - Model K117,4,17.87,0.0,71.48,35.39,57.58,First Class
ORD-20021,2024-01-28,CUST-00094,Richard Lopez,Consumer,Central,Columbus,Office Supplies,Sticky Notes,Sticky Notes - Model C456,4,14.52,0.3,40.66,5.69,37.92,Same Day
ORD-20022,2024-04-30,CUST-01929,John Jones,Corporate,Central,St. Louis,Furniture,Standing Desks,Standing Desks - Model S903,5,1181.13,0.1,5315.09,792.9,52.58,Standard Class
ORD-20023,2023-05-05,CUST-01020,Steven Garcia,Home Office,Central,Indianapolis,Technology,Keyboards,Keyboards - Model D593,9,169.82,0.4,917.03,-60.73,28.44,Second Class
ORD-20024,2022-08-08,CUST-00434,Sandra Jones,Home Office,Central,Oklahoma City,Technology,Smartphones,Smartphones - Model M884,1,426.56,0.0,426.56,160.93,21.61,First Class
ORD-20025,2024-12-08,CUST-01473,Sarah Brown,Corporate,South,Dallas,Furniture,Bed Frames,Bed Frames - Model P192,2,768.48,0.1,1383.26,308.41,39.11,First Class
ORD-20026,2024-12-28,CUST-00459,Joseph Lee,Consumer,Central,St. Louis,Office Supplies,Folders,Folders - Model X490,6,6.94,0.3,29.15,9.29,45.35,Same Day
ORD-20027,2024-09-26,CUST-00478,Sandra Martinez,Corporate,North,Detroit,Technology,Keyboards,Keyboards - Model G862,2,40.82,0.0,81.64,8.86,45.21,Standard Class
ORD-20028,2022-02-19,CUST-00754,Daniel Garcia,Home Office,East,New York,Technology,Webcams,Webcams - Model G967,10,239.9,0.0,2399.0,430.51,36.63,Same Day
ORD-20029,2023-01-14,CUST-00655,Robert Taylor,Consumer,South,Nashville,Furniture,Bookshelves,Bookshelves - Model O423,10,246.32,0.1,2216.88,-138.99,3.52,Second Class
ORD-20030,2022-06-27,CUST-01932,Donald Lee,Consumer,East,Boston,Furniture,Filing Cabinets,Filing Cabinets - Model V969,8,204.95,0.1,1475.64,163.08,11.31,Standard Class
ORD-20031,2023-11-20,CUST-00656,David Anderson,Home Office,Central,Indianapolis,Furniture,Standing Desks,Standing Desks - Model J821,10,628.14,0.4,3768.84,-109.76,15.3,Same Day
ORD-20032,2023-05-02,CUST-01660,Anthony Martinez,Home Office,Central,Columbus,Furniture,Bookshelves,Bookshelves - Model Y283,4,344.92,0.1,1241.71,180.23,6.0,Same Day
ORD-20033,2024-03-24,CUST-00803,John Anderson,Corporate,South,Houston,Furniture,Bookshelves,Bookshelves - Model L875,9,397.14,0.3,2501.98,-204.93,41.64,Same Day
ORD-20034,2024-02-13,CUST-00148,Anthony Hernandez,Corporate,Central,Kansas City,Office Supplies,Staplers,Staplers - Model Z694,4,24.12,0.2,77.18,6.49,21.43,Standard Class
ORD-20035,2022-11-28,CUST-01915,Nancy Johnson,Consumer,North,Cleveland,Office Supplies,Staplers,Staplers - Model E314,3,32.88,0.0,98.64,30.05,30.5,Second Class
ORD-20036,2024-01-26,CUST-01533,Lisa Garcia,Consumer,Central,Indianapolis,Technology,Laptops,Laptops - Model E485,10,1352.01,0.0,13520.1,4016.3,59.34,Same Day
ORD-20037,2024-10-22,CUST-01724,Sarah Lee,Corporate,North,Milwaukee,Technology,Laptops,Laptops - Model Q765,8,872.89,0.1,6284.81,2089.2,9.69,First Class
ORD-20038,2022-11-19,CUST-00889,Jennifer Martin,Home Office,North,Cleveland,Technology,Headphones,Headphones - Model T276,2,145.15,0.0,290.3,60.07,20.25,Same Day
ORD-20039,2022-06-25,CUST-01417,Michael Lee,Corporate,South,Nashville,Office Supplies,Pens & Pencils,Pens & Pencils - Model A222,7,19.89,0.2,111.38,30.22,28.37,Standard Class
ORD-20040,2023-11-03,CUST-00250,Barbara Wilson,Corporate,Central,Kansas City,Furniture,Filing Cabinets,Filing Cabinets - Model Z707,10,66.68,0.4,400.08,-61.69,45.49,Second Class
ORD-20041,2022-05-13,CUST-00992,Susan Jones,Consumer,East,Philadelphia,Office Supplies,Desk Organizers,Desk Organizers - Model Z650,3,34.39,0.0,103.17,27.22,43.68,Second Class
ORD-20042,2023-05-13,CUST-01665,John Jones,Corporate,East,Washington DC,Office Supplies,Notebooks,Notebooks - Model R830,9,14.84,0.4,80.14,-2.21,50.72,Standard Class
ORD-20043,2023-10-25,CUST-01543,Matthew Lopez,Home Office,East,Philadelphia,Technology,Smartphones,Smartphones - Model K225,10,516.8,0.1,4651.2,147.46,28.49,Standard Class
ORD-20044,2023-12-05,CUST-01178,Jennifer Davis,Corporate,Central,Columbus,Technology,Tablets,Tablets - Model J472,5,270.26,0.0,1351.3,144.69,10.11,Second Class
ORD-20045,2024-02-14,CUST-01936,Robert Anderson,Corporate,East,New York,Office Supplies,Notebooks,Notebooks - Model S602,1,11.21,0.1,10.09,3.34,28.36,First Class
ORD-20046,2023-11-17,CUST-01866,Lisa Jackson,Consumer,Central,St. Louis,Furniture,Filing Cabinets,Filing Cabinets - Model G237,1,259.5,0.1,233.55,-20.35,11.08,Second Class
ORD-20047,2023-11-19,CUST-00736,Daniel Harris,Home Office,South,Atlanta,Furniture,Bookshelves,Bookshelves - Model U267,7,313.31,0.0,2193.17,312.41,17.86,Same Day
ORD-20048,2023-08-15,CUST-00171,Joseph Taylor,Corporate,Central,Columbus,Furniture,Wardrobes,Wardrobes - Model U813,3,1140.2,0.1,3078.54,-231.83,44.76,Second Class
ORD-20049,2022-01-23,CUST-00763,Jennifer Hernandez,Home Office,North,Cleveland,Office Supplies,Tape & Glue,Tape & Glue - Model M126,7,16.31,0.1,102.75,21.65,,Second Class
ORD-20050,2023-01-03,CUST-00554,Lisa Gonzalez,Home Office,West,Seattle,Technology,Hard Drives,Hard Drives - Model L441,9,77.5,0.3,488.25,-23.87,39.49,First Class
ORD-20051,2023-05-05,CUST-01780,Sandra Jones,Home Office,West,Portland,Technology,Keyboards,Keyboards - Model D279,7,21.78,0.1,137.21,20.74,8.99,First Class
ORD-20052,2022-12-19,CUST-01683,William Miller,Home Office,East,New York,Furniture,Standing Desks,Standing Desks - Model B274,10,934.75,0.2,7478.0,321.85,37.63,First Class
ORD-20053,2024-06-25,CUST-00798,Mark Martin,Consumer,East,New York,Technology,Webcams,Webcams - Model A803,9,207.34,0.3,1306.24,107.89,10.27,Second Class
ORD-20054,2022-04-22,CUST-00259,James Rodriguez,Consumer,Central,St. Louis,Technology,Headphones,Headphones - Model L824,5,296.75,0.0,1483.75,554.78,39.43,Second Class
ORD-20055,2022-05-22,CUST-01247,Richard Smith,Corporate,South,Nashville,Furniture,Bed Frames,Bed Frames - Model N633,6,269.02,0.4,968.47,-71.88,18.72,Second Class
ORD-20056,2024-12-10,CUST-01302,Richard White,Consumer,East,Baltimore,Technology,Keyboards,Keyboards - Model H195,6,93.17,0.0,559.02,158.26,7.37,Second Class
ORD-20057,2024-09-19,CUST-00118,Susan Williams,Corporate,South,Miami,Technology,Keyboards,Keyboards - Model Q848,8,119.75,0.0,958.0,371.6,27.17,Second Class
ORD-20058,2022-11-16,CUST-01020,Steven Garcia,Home Office,Central,Indianapolis,Office Supplies,Tape & Glue,Tape & Glue - Model X107,7,18.35,0.0,128.45,46.97,54.92,Same Day
ORD-20059,2023-12-23,CUST-01095,Sandra Lee,Corporate,Central,Oklahoma City,Office Supplies,Sticky Notes,Sticky Notes - Model V882,9,7.15,0.0,64.35,23.33,57.98,Second Class
ORD-20060,2024-11-06,CUST-00154,Joseph Gonzalez,Corporate,East,Philadelphia,Furniture,Bookshelves,Bookshelves - Model D446,1,244.38,0.3,171.07,-4.55,12.72,Second Class
ORD-20061,2022-05-27,CUST-01105,Jessica Taylor,Home Office,West,Portland,Technology,Keyboards,Keyboards - Model S503,5,73.85,0.1,332.32,32.63,45.07,Second Class
